sample condition
ctrl1_1 A
ctrl1_2 A
ctrl1_3 A
UPF1_KD1 B
UPF1_KD2 B
UPF1_KD3 B
UPF1_res1 C
UPF1_res2 C
UPF1_res3 C
SMG6_KD1 D
SMG6_KD2 D
SMG6_KD3 D
SMG6_res1 E
SMG6_res2 E
SMG6_res3 E
ctrl2_1 A
ctrl2_2 A
ctrl2_3 A
SMG7_KD1 F
SMG7_KD2 F
SMG7_KD3 F
SMG7_res1 G
SMG7_res2 G
SMG7_res3 G
double_KD1 H
double_KD2 H
double_KD3 H
double_resSMG6_1 I
double_resSMG6_2 I
double_resSMG6_3 I
double_resSMG7_1 J
double_resSMG7_2 J
double_resSMG7_3 J
